2023-11-05 08:31:20 startup archives install
2023-11-05 08:31:21 install base-passwd:armel <none> 3.5.46
2023-11-05 08:31:21 status half-installed base-passwd:armel 3.5.46
2023-11-05 08:31:21 status unpacked base-passwd:armel 3.5.46
2023-11-05 08:31:21 configure base-passwd:armel 3.5.46 3.5.46
2023-11-05 08:31:21 status half-configured base-passwd:armel 3.5.46
2023-11-05 08:31:21 status installed base-passwd:armel 3.5.46
2023-11-05 08:31:21 startup archives install
2023-11-05 08:31:21 install base-files:armel <none> 10.3+deb10u13
2023-11-05 08:31:21 status half-installed base-files:armel 10.3+deb10u13
2023-11-05 08:31:22 status unpacked base-files:armel 10.3+deb10u13
2023-11-05 08:31:22 configure base-files:armel 10.3+deb10u13 10.3+deb10u13
2023-11-05 08:31:22 status half-configured base-files:armel 10.3+deb10u13
2023-11-05 08:31:23 status installed base-files:armel 10.3+deb10u13
2023-11-05 08:31:23 startup archives install
2023-11-05 08:31:23 upgrade dpkg 1.19.8 1.19.8
2023-11-05 08:31:23 status half-configured dpkg 1.19.8
2023-11-05 08:31:23 status unpacked dpkg 1.19.8
2023-11-05 08:31:23 status half-installed dpkg 1.19.8
2023-11-05 08:31:23 status unpacked dpkg:armel 1.19.8
2023-11-05 08:31:23 configure dpkg:armel 1.19.8 1.19.8
2023-11-05 08:31:23 status half-configured dpkg:armel 1.19.8
2023-11-05 08:31:23 status installed dpkg:armel 1.19.8
2023-11-05 08:31:23 startup archives install
2023-11-05 08:31:23 install libc6:armel <none> 2.28-10+deb10u1
2023-11-05 08:31:23 status half-installed libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:25 status unpacked libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:25 configure libc6:armel 2.28-10+deb10u1 2.28-10+deb10u1
2023-11-05 08:31:25 status half-configured libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:26 status installed libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:26 startup archives install
2023-11-05 08:31:26 install perl-base:armel <none> 5.28.1-6+deb10u1
2023-11-05 08:31:26 status half-installed perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:26 status unpacked perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:26 configure perl-base:armel 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2023-11-05 08:31:26 status half-configured perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:26 status installed perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:26 startup archives install
2023-11-05 08:31:27 install mawk:armel <none> 1.3.3-17+b3
2023-11-05 08:31:27 status half-installed mawk:armel 1.3.3-17+b3
2023-11-05 08:31:27 status unpacked mawk:armel 1.3.3-17+b3
2023-11-05 08:31:27 configure mawk:armel 1.3.3-17+b3 1.3.3-17+b3
2023-11-05 08:31:27 status half-configured mawk:armel 1.3.3-17+b3
2023-11-05 08:31:27 status installed mawk:armel 1.3.3-17+b3
2023-11-05 08:31:27 startup archives install
2023-11-05 08:31:27 install debconf:all <none> 1.5.71+deb10u1
2023-11-05 08:31:27 status half-installed debconf:all 1.5.71+deb10u1
2023-11-05 08:31:27 status unpacked debconf:all 1.5.71+deb10u1
2023-11-05 08:31:27 configure debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2023-11-05 08:31:27 status half-configured debconf:all 1.5.71+deb10u1
2023-11-05 08:31:28 status installed debconf:all 1.5.71+deb10u1
2023-11-05 08:31:28 startup archives unpack
2023-11-05 08:31:28 install libacl1:armel <none> 2.2.53-4
2023-11-05 08:31:28 status half-installed libacl1:armel 2.2.53-4
2023-11-05 08:31:28 status unpacked libacl1:armel 2.2.53-4
2023-11-05 08:31:28 install adduser:all <none> 3.118
2023-11-05 08:31:28 status half-installed adduser:all 3.118
2023-11-05 08:31:29 status unpacked adduser:all 3.118
2023-11-05 08:31:29 install apt:armel <none> 1.8.2.3
2023-11-05 08:31:29 status half-installed apt:armel 1.8.2.3
2023-11-05 08:31:29 status unpacked apt:armel 1.8.2.3
2023-11-05 08:31:29 install libapt-pkg5.0:armel <none> 1.8.2.3
2023-11-05 08:31:29 status half-installed libapt-pkg5.0:armel 1.8.2.3
2023-11-05 08:31:29 status unpacked libapt-pkg5.0:armel 1.8.2.3
2023-11-05 08:31:30 install libattr1:armel <none> 1:2.4.48-4
2023-11-05 08:31:30 status half-installed libattr1:armel 1:2.4.48-4
2023-11-05 08:31:30 status unpacked libattr1:armel 1:2.4.48-4
2023-11-05 08:31:30 install libaudit-common:all <none> 1:2.8.4-3
2023-11-05 08:31:30 status half-installed libaudit-common:all 1:2.8.4-3
2023-11-05 08:31:30 status unpacked libaudit-common:all 1:2.8.4-3
2023-11-05 08:31:30 install libaudit1:armel <none> 1:2.8.4-3
2023-11-05 08:31:30 status half-installed libaudit1:armel 1:2.8.4-3
2023-11-05 08:31:30 status unpacked libaudit1:armel 1:2.8.4-3
2023-11-05 08:31:30 upgrade base-files:armel 10.3+deb10u13 10.3+deb10u13
2023-11-05 08:31:30 status half-configured base-files:armel 10.3+deb10u13
2023-11-05 08:31:30 status unpacked base-files:armel 10.3+deb10u13
2023-11-05 08:31:30 status half-installed base-files:armel 10.3+deb10u13
2023-11-05 08:31:30 status unpacked base-files:armel 10.3+deb10u13
2023-11-05 08:31:30 upgrade base-passwd:armel 3.5.46 3.5.46
2023-11-05 08:31:30 status half-configured base-passwd:armel 3.5.46
2023-11-05 08:31:30 status unpacked base-passwd:armel 3.5.46
2023-11-05 08:31:30 status half-installed base-passwd:armel 3.5.46
2023-11-05 08:31:30 status unpacked base-passwd:armel 3.5.46
2023-11-05 08:31:30 install bash:armel <none> 5.0-4
2023-11-05 08:31:30 status half-installed bash:armel 5.0-4
2023-11-05 08:31:31 status unpacked bash:armel 5.0-4
2023-11-05 08:31:31 install libbz2-1.0:armel <none> 1.0.6-9.2~deb10u1
2023-11-05 08:31:31 status half-installed libbz2-1.0:armel 1.0.6-9.2~deb10u1
2023-11-05 08:31:31 status unpacked libbz2-1.0:armel 1.0.6-9.2~deb10u1
2023-11-05 08:31:31 install libdebconfclient0:armel <none> 0.249
2023-11-05 08:31:31 status half-installed libdebconfclient0:armel 0.249
2023-11-05 08:31:31 status unpacked libdebconfclient0:armel 0.249
2023-11-05 08:31:31 install coreutils:armel <none> 8.30-3
2023-11-05 08:31:31 status half-installed coreutils:armel 8.30-3
2023-11-05 08:31:32 status unpacked coreutils:armel 8.30-3
2023-11-05 08:31:32 install dash:armel <none> 0.5.10.2-5
2023-11-05 08:31:32 status half-installed dash:armel 0.5.10.2-5
2023-11-05 08:31:32 status unpacked dash:armel 0.5.10.2-5
2023-11-05 08:31:32 install libdb5.3:armel <none> 5.3.28+dfsg1-0.5
2023-11-05 08:31:32 status half-installed libdb5.3:armel 5.3.28+dfsg1-0.5
2023-11-05 08:31:32 status unpacked libdb5.3:armel 5.3.28+dfsg1-0.5
2023-11-05 08:31:32 upgrade debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2023-11-05 08:31:32 status half-configured debconf:all 1.5.71+deb10u1
2023-11-05 08:31:32 status unpacked debconf:all 1.5.71+deb10u1
2023-11-05 08:31:32 status half-installed debconf:all 1.5.71+deb10u1
2023-11-05 08:31:33 status unpacked debconf:all 1.5.71+deb10u1
2023-11-05 08:31:33 install debian-archive-keyring:all <none> 2019.1+deb10u1
2023-11-05 08:31:33 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2023-11-05 08:31:33 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2023-11-05 08:31:34 install debianutils:armel <none> 4.8.6.1
2023-11-05 08:31:34 status half-installed debianutils:armel 4.8.6.1
2023-11-05 08:31:34 status unpacked debianutils:armel 4.8.6.1
2023-11-05 08:31:34 install diffutils:armel <none> 1:3.7-3
2023-11-05 08:31:34 status half-installed diffutils:armel 1:3.7-3
2023-11-05 08:31:34 status unpacked diffutils:armel 1:3.7-3
2023-11-05 08:31:34 upgrade dpkg:armel 1.19.8 1.19.8
2023-11-05 08:31:34 status half-configured dpkg:armel 1.19.8
2023-11-05 08:31:34 status unpacked dpkg:armel 1.19.8
2023-11-05 08:31:34 status half-installed dpkg:armel 1.19.8
2023-11-05 08:31:34 status unpacked dpkg:armel 1.19.8
2023-11-05 08:31:34 install e2fsprogs:armel <none> 1.44.5-1+deb10u3
2023-11-05 08:31:34 status half-installed e2fsprogs:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 status unpacked e2fsprogs:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 install libcom-err2:armel <none> 1.44.5-1+deb10u3
2023-11-05 08:31:35 status half-installed libcom-err2:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 status unpacked libcom-err2:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 install libext2fs2:armel <none> 1.44.5-1+deb10u3
2023-11-05 08:31:35 status half-installed libext2fs2:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 status unpacked libext2fs2:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 install libss2:armel <none> 1.44.5-1+deb10u3
2023-11-05 08:31:35 status half-installed libss2:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 status unpacked libss2:armel 1.44.5-1+deb10u3
2023-11-05 08:31:35 install findutils:armel <none> 4.6.0+git+20190209-2
2023-11-05 08:31:35 status half-installed findutils:armel 4.6.0+git+20190209-2
2023-11-05 08:31:35 status unpacked findutils:armel 4.6.0+git+20190209-2
2023-11-05 08:31:35 install gcc-8-base:armel <none> 8.3.0-6
2023-11-05 08:31:35 status half-installed gcc-8-base:armel 8.3.0-6
2023-11-05 08:31:35 status unpacked gcc-8-base:armel 8.3.0-6
2023-11-05 08:31:36 install libgcc1:armel <none> 1:8.3.0-6
2023-11-05 08:31:36 status half-installed libgcc1:armel 1:8.3.0-6
2023-11-05 08:31:36 status unpacked libgcc1:armel 1:8.3.0-6
2023-11-05 08:31:36 install libstdc++6:armel <none> 8.3.0-6
2023-11-05 08:31:36 status half-installed libstdc++6:armel 8.3.0-6
2023-11-05 08:31:36 status unpacked libstdc++6:armel 8.3.0-6
2023-11-05 08:31:36 install libc-bin:armel <none> 2.28-10+deb10u1
2023-11-05 08:31:36 status half-installed libc-bin:armel 2.28-10+deb10u1
2023-11-05 08:31:36 status unpacked libc-bin:armel 2.28-10+deb10u1
2023-11-05 08:31:36 upgrade libc6:armel 2.28-10+deb10u1 2.28-10+deb10u1
2023-11-05 08:31:36 status half-configured libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:36 status unpacked libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:36 status half-installed libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:38 status unpacked libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:38 install libgmp10:armel <none> 2:6.1.2+dfsg-4+deb10u1
2023-11-05 08:31:38 status half-installed libgmp10:armel 2:6.1.2+dfsg-4+deb10u1
2023-11-05 08:31:38 status unpacked libgmp10:armel 2:6.1.2+dfsg-4+deb10u1
2023-11-05 08:31:39 install gpgv:armel <none> 2.2.12-1+deb10u2
2023-11-05 08:31:39 status half-installed gpgv:armel 2.2.12-1+deb10u2
2023-11-05 08:31:39 status unpacked gpgv:armel 2.2.12-1+deb10u2
2023-11-05 08:31:39 install libgnutls30:armel <none> 3.6.7-4+deb10u8
2023-11-05 08:31:39 status half-installed libgnutls30:armel 3.6.7-4+deb10u8
2023-11-05 08:31:39 status unpacked libgnutls30:armel 3.6.7-4+deb10u8
2023-11-05 08:31:39 install grep:armel <none> 3.3-1
2023-11-05 08:31:39 status half-installed grep:armel 3.3-1
2023-11-05 08:31:39 status unpacked grep:armel 3.3-1
2023-11-05 08:31:39 install gzip:armel <none> 1.9-3+deb10u1
2023-11-05 08:31:39 status half-installed gzip:armel 1.9-3+deb10u1
2023-11-05 08:31:39 status unpacked gzip:armel 1.9-3+deb10u1
2023-11-05 08:31:39 install hostname:armel <none> 3.21
2023-11-05 08:31:39 status half-installed hostname:armel 3.21
2023-11-05 08:31:40 status unpacked hostname:armel 3.21
2023-11-05 08:31:40 install init-system-helpers:all <none> 1.56+nmu1
2023-11-05 08:31:40 status half-installed init-system-helpers:all 1.56+nmu1
2023-11-05 08:31:40 status unpacked init-system-helpers:all 1.56+nmu1
2023-11-05 08:31:40 install libcap-ng0:armel <none> 0.7.9-2
2023-11-05 08:31:40 status half-installed libcap-ng0:armel 0.7.9-2
2023-11-05 08:31:40 status unpacked libcap-ng0:armel 0.7.9-2
2023-11-05 08:31:40 install libffi6:armel <none> 3.2.1-9
2023-11-05 08:31:40 status half-installed libffi6:armel 3.2.1-9
2023-11-05 08:31:40 status unpacked libffi6:armel 3.2.1-9
2023-11-05 08:31:40 install libgcrypt20:armel <none> 1.8.4-5+deb10u1
2023-11-05 08:31:40 status half-installed libgcrypt20:armel 1.8.4-5+deb10u1
2023-11-05 08:31:40 status unpacked libgcrypt20:armel 1.8.4-5+deb10u1
2023-11-05 08:31:40 install libgpg-error0:armel <none> 1.35-1
2023-11-05 08:31:40 status half-installed libgpg-error0:armel 1.35-1
2023-11-05 08:31:40 status unpacked libgpg-error0:armel 1.35-1
2023-11-05 08:31:40 install libidn2-0:armel <none> 2.0.5-1+deb10u1
2023-11-05 08:31:40 status half-installed libidn2-0:armel 2.0.5-1+deb10u1
2023-11-05 08:31:41 status unpacked libidn2-0:armel 2.0.5-1+deb10u1
2023-11-05 08:31:41 install libseccomp2:armel <none> 2.3.3-4
2023-11-05 08:31:41 status half-installed libseccomp2:armel 2.3.3-4
2023-11-05 08:31:41 status unpacked libseccomp2:armel 2.3.3-4
2023-11-05 08:31:41 install libselinux1:armel <none> 2.8-1+b1
2023-11-05 08:31:41 status half-installed libselinux1:armel 2.8-1+b1
2023-11-05 08:31:41 status unpacked libselinux1:armel 2.8-1+b1
2023-11-05 08:31:41 install libsemanage-common:all <none> 2.8-2
2023-11-05 08:31:41 status half-installed libsemanage-common:all 2.8-2
2023-11-05 08:31:41 status unpacked libsemanage-common:all 2.8-2
2023-11-05 08:31:41 install libsemanage1:armel <none> 2.8-2
2023-11-05 08:31:41 status half-installed libsemanage1:armel 2.8-2
2023-11-05 08:31:41 status unpacked libsemanage1:armel 2.8-2
2023-11-05 08:31:41 install libsepol1:armel <none> 2.8-1
